year,sumF,sumM
'85,32479,83584
'86,33852,86818
'87,35006,91836
'88,33015,88011
'89,41361,118883
'90,50118,143243
'91,49622,148398
'92,51567,159906
'93,51331,170234
‘94,51532,180531
‘95,54504,189040
‘96,54583,192142
‘97,54126,186619
‘98,55631,193960
‘99,56215,199904
‘00,55254,200578
‘01,52999,197653
‘02,55549,200546
‘03,55627,200452
‘04,53232,187629
‘05,52035,182340
‘06,52039,181322
‘07,53324,180084
‘08,53973,181474
‘09,54920,188567
‘10,54222,184480
‘11,54616,181868
‘12,53011,177149
‘13,51459,171740
‘14,51556,171428
‘15,47248,156392
‘16,35094,120969
