,country,suicides_no,suicides/100k pop
0,Albania,1970,924,76
1,Antigua and Barbuda,11,179,14
2,Argentina,82219,3894,59
3,Armenia,1905,976,21
4,Aruba,101,1596,52
5,Australia,70111,4677,41
6,Austria,50073,9076,23
7,Azerbaijan,1656,356,24
8,Bahamas,93,344,28
9,Bahrain,463,467,24
10,Barbados,177,891,13
11,Belarus,59892,7831,13
12,Belgium,62761,7900,5
13,Belize,348,2093,49
14,Bosnia and Herzegovina,318,110,81
15,Brazil,226613,2174,72
16,Bulgaria,36388,7016,08
17,Cabo Verde,42,133,84
18,Canada,107561,4338,72
19,Chile,40895,3921,64
20,Colombia,53080,2009,39
21,Costa Rica,6792,2553,72
22,Croatia,18429,5982,84
23,Cuba,41418,6111,95
24,Cyprus,412,586,26
25,Czech Republic,43687,5952,99
26,Denmark,15297,3721,65
27,Dominica,0,0
28,Ecuador,20660,2345,21
29,El Salvador,11683,3035,94
30,Estonia,7034,6873,78
31,Fiji,304,673,86
32,Finland,33677,7924,11
33,France,329127,7803,25
34,Georgia,3224,1116,38
35,Germany,291262,4854,69
36,Greece,12368,1512,12
37,Grenada,38,661
38,Guatemala,8149,1146,7
39,Guyana,3426,6655,92
40,Hungary,73891,10156,07
41,Iceland,1108,4889,74
42,Ireland,12574,3881,73
43,Israel,11294,3329,97
44,Italy,132060,3168,87
45,Jamaica,184,106,44
46,Japan,806902,8025,23
47,Kazakhstan,101546,9519,52
48,Kiribati,53,878,51
49,Kuwait,966,355,93
50,Kyrgyzstan,13090,4457,3
51,Latvia,12770,7373,35
52,Lithuania,28039,10588,88
53,Luxembourg,1958,6156,56
54,Macau,27,171,74
55,Maldives,20,164,08
56,Malta,585,1872,01
57,Mauritius,3894,4464,58
58,Mexico,111139,1751,19
59,Mongolia,423,184,39
60,Montenegro,472,1194,03
61,Netherlands,50833,4066,52
62,New Zealand,14383,5008,32
63,Nicaragua,2013,472,82
64,Norway,16992,4658,76
65,Oman,33,26,5
66,Panama,3483,1744,06
67,Paraguay,4783,1366,37
68,Philippines,21330,435,83
69,Poland,139098,4397,62
70,Portugal,24061,3673,36
71,Puerto Rico,9043,3789,28
72,Qatar,574,318,15
73,Republic of Korea,261730,9350,45
74,Romania,72777,4171,55
75,Russian Federation,1209742,11305,13
76,Saint Kitts and Nevis,0,0
77,Saint Lucia,230,2420,12
78,Saint Vincent and Grenadines,124,1726,63
79,San Marino,4,145,62
80,Serbia,24179,4787,45
81,Seychelles,98,1615,7
82,Singapore,10089,6340,98
83,Slovakia,13437,3318,16
84,Slovenia,10615,7012,62
85,South Africa,7321,231,49
86,Spain,100202,3509,06
87,Sri Lanka,55641,4658,96
88,Suriname,2166,7162,32
89,Sweden,37795,5247,72
90,Switzerland,26217,4794,07
91,Thailand,110643,2362,67
92,Trinidad and Tobago,4039,4479,51
93,Turkey,10131,199,17
94,Turkmenistan,8624,2994,73
95,Ukraine,319950,8931,66
96,United Arab Emirates,622,94,89
97,United Kingdom,136805,2790,92
98,United States,1034013,5140,97
99,Uruguay,13138,6538,96
100,Uzbekistan,34803,2138,17
