,year,max,mean,count
0,'85,6962.0,201.49826388888889,576
1,'86,7298.0,209.49652777777777,576
2,'87,6688.0,195.74382716049382,648
3,'88,6528.0,205.8265306122449,588
4,'89,12030.0,256.80128205128204,624
5,'90,12517.0,251.77213541666666,768
6,'91,12746.0,257.8385416666667,768
7,'92,15824.0,271.1192307692308,780
8,'93,20256.0,284.0576923076923,780
9,'94,22338.0,284.390931372549,816
10,'95,21706.0,260.1965811965812,936
11,'96,20562.0,267.01839826839824,924
12,'97,18973.0,260.54653679653677,924
13,'98,18058.0,263.28164556962025,948
14,'99,20705.0,257.1475903614458,996
15,'00,21063.0,247.89922480620154,1032
16,'01,21262.0,237.3598484848485,1056
17,'02,20119.0,248.15406976744185,1032
18,'03,18681.0,248.13856589147287,1032
19,'04,17465.0,238.94940476190476,1008
20,'05,15843.0,232.51488095238096,1008
21,'06,14020.0,228.78529411764706,1020
22,'07,13065.0,226.1705426356589,1032
23,'08,11848.0,230.83039215686276,1020
24,'09,11721.0,227.98408239700373,1068
25,'10,11767.0,226.0435606060606,1056
26,'11,11681.0,229.15116279069767,1032
27,'12,11763.0,236.79012345679013,972
28,'13,11396.0,232.49895833333332,960
29,'14,11455.0,238.23076923076923,936
30,'15,11634.0,273.7096774193548,744
