,year,sum,mean,count
0,1985,1008600086.0,1751041.8159722222,576
1,1986,1029909613.0,1788037.5225694445,576
2,1987,1095029726.0,1689860.688271605,648
3,1988,1054094424.0,1792677.5918367347,588
4,1989,1225514347.0,1963965.2996794872,624
5,1990,1466620100.0,1909661.5885416667,768
6,1991,1489988384.0,1940089.0416666667,768
7,1992,1569539447.0,2012230.0602564102,780
8,1993,1530416654.0,1962072.6333333333,780
9,1994,1548749372.0,1897977.1715686275,816
10,1995,1591559103.0,1700383.657051282,936
11,1996,1662267662.0,1798990.9761904762,924
12,1997,1702991519.0,1843064.4145021646,924
13,1998,1725181351.0,1819811.5516877638,948
14,1999,1776363155.0,1783497.1435742972,996
15,2000,1799227908.0,1743437.8953488371,1032
16,2001,1755565489.0,1662467.3191287878,1056
17,2002,1822152815.0,1765651.9525193798,1032
18,2003,1838458020.0,1781451.5697674418,1032
19,2004,1745246613.0,1731395.449404762,1008
20,2005,1734909645.0,1721140.5208333333,1008
21,2006,1840908837.0,1804812.5852941177,1020
22,2007,1859564353.0,1801903.4428294573,1032
23,2008,1860620851.0,1824138.0892156863,1020
24,2009,1976228366.0,1850401.0917602996,1068
25,2010,1997297329.0,1891380.0464015151,1056
26,2011,1993362332.0,1931552.6472868216,1032
27,2012,1912812088.0,1967913.670781893,972
28,2013,1890161710.0,1968918.4479166667,960
29,2014,1912057309.0,2042796.2702991453,936
30,2015,1774657932.0,2385292.919354839,744
