sex,country,year,age,suicides_no,population,suicides/100k pop,HDI for year,gdp_for_year ($) ,gdp_per_capita ($)
female,Albania,1985,15-24 years,,,,,,
female,Albania,1985,25-34 years,,,,,,
female,Albania,1985,35-54 years,,,,,,
female,Albania,1985,5-14 years,,,,,,
female,Albania,1985,55-74 years,,,,,,
female,Albania,1985,75+ years,,,,,,
female,Albania,1986,15-24 years,,,,,,
female,Albania,1986,25-34 years,,,,,,
female,Albania,1986,35-54 years,,,,,,
female,Albania,1986,5-14 years,,,,,,
female,Albania,1986,55-74 years,,,,,,
female,Albania,1986,75+ years,,,,,,
female,Albania,1987,15-24 years,14,289700,"4,83",,2156624900,796
female,Albania,1987,25-34 years,4,257200,"1,56",,2156624900,796
female,Albania,1987,35-54 years,6,278800,"2,15",,2156624900,796
female,Albania,1987,5-14 years,0,311000,0,,2156624900,796
female,Albania,1987,55-74 years,0,144600,0,,2156624900,796
female,Albania,1987,75+ years,1,35600,"2,81",,2156624900,796
female,Albania,1988,15-24 years,8,295600,"2,71",,2126000000,769
female,Albania,1988,25-34 years,5,262400,"1,91",,2126000000,769
female,Albania,1988,35-54 years,4,284500,"1,41",,2126000000,769
female,Albania,1988,5-14 years,0,317200,0,,2126000000,769
female,Albania,1988,55-74 years,3,147500,"2,03",,2126000000,769
female,Albania,1988,75+ years,2,36400,"5,49",,2126000000,769
female,Albania,1989,15-24 years,5,299900,"1,67",,2335124988,833
female,Albania,1989,25-34 years,2,266300,"0,75",,2335124988,833
female,Albania,1989,35-54 years,7,288600,"2,43",,2335124988,833
female,Albania,1989,5-14 years,0,321900,0,,2335124988,833
female,Albania,1989,55-74 years,1,149600,"0,67",,2335124988,833
female,Albania,1989,75+ years,0,37000,0,,2335124988,833
female,Albania,1990,15-24 years,,,,,,
female,Albania,1990,25-34 years,,,,,,
female,Albania,1990,35-54 years,,,,,,
female,Albania,1990,5-14 years,,,,,,
female,Albania,1990,55-74 years,,,,,,
female,Albania,1990,75+ years,,,,,,
female,Albania,1991,15-24 years,,,,,,
female,Albania,1991,25-34 years,,,,,,
female,Albania,1991,35-54 years,,,,,,
female,Albania,1991,5-14 years,,,,,,
female,Albania,1991,55-74 years,,,,,,
female,Albania,1991,75+ years,,,,,,
female,Albania,1992,15-24 years,7,292400,"2,39",,709452584,251
female,Albania,1992,25-34 years,4,267400,"1,5",,709452584,251
female,Albania,1992,35-54 years,2,323100,"0,62",,709452584,251
female,Albania,1992,5-14 years,0,336700,0,,709452584,251
female,Albania,1992,55-74 years,1,164900,"0,61",,709452584,251
female,Albania,1992,75+ years,0,38700,0,,709452584,251
female,Albania,1993,15-24 years,10,285300,"3,51",,1228071038,437
female,Albania,1993,25-34 years,7,261800,"2,67",,1228071038,437
female,Albania,1993,35-54 years,7,331200,"2,11",,1228071038,437
female,Albania,1993,5-14 years,1,340300,"0,29",,1228071038,437
female,Albania,1993,55-74 years,2,169500,"1,18",,1228071038,437
female,Albania,1993,75+ years,0,39300,0,,1228071038,437
female,Albania,1994,15-24 years,6,282600,"2,12",,1985673798,697
female,Albania,1994,25-34 years,4,261100,"1,53",,1985673798,697
female,Albania,1994,35-54 years,2,342500,"0,58",,1985673798,697
female,Albania,1994,5-14 years,0,344400,0,,1985673798,697
female,Albania,1994,55-74 years,1,174600,"0,57",,1985673798,697
female,Albania,1994,75+ years,2,39900,"5,01",,1985673798,697
female,Albania,1995,15-24 years,13,283500,"4,59",619,2424499009,835
female,Albania,1995,25-34 years,7,264000,"2,65",619,2424499009,835
female,Albania,1995,35-54 years,8,356400,"2,24",619,2424499009,835
female,Albania,1995,5-14 years,2,348700,"0,57",619,2424499009,835
female,Albania,1995,55-74 years,2,180400,"1,11",619,2424499009,835
female,Albania,1995,75+ years,2,40800,"4,9",619,2424499009,835
female,Albania,1996,15-24 years,16,287700,"5,56",,3314898292,1127
female,Albania,1996,25-34 years,10,267900,"3,73",,3314898292,1127
female,Albania,1996,35-54 years,9,362000,"2,49",,3314898292,1127
female,Albania,1996,5-14 years,1,354100,"0,28",,3314898292,1127
female,Albania,1996,55-74 years,1,183100,"0,55",,3314898292,1127
female,Albania,1996,75+ years,2,41200,"4,85",,3314898292,1127
female,Albania,1997,15-24 years,21,294000,"7,14",,2359903108,793
female,Albania,1997,25-34 years,16,273900,"5,84",,2359903108,793
female,Albania,1997,35-54 years,7,370100,"1,89",,2359903108,793
female,Albania,1997,5-14 years,6,361800,"1,66",,2359903108,793
female,Albania,1997,55-74 years,0,187000,0,,2359903108,793
female,Albania,1997,75+ years,2,42100,"4,75",,2359903108,793
female,Albania,1998,15-24 years,32,295600,"10,83",,2707123772,899
female,Albania,1998,25-34 years,10,275300,"3,63",,2707123772,899
female,Albania,1998,35-54 years,9,372100,"2,42",,2707123772,899
female,Albania,1998,5-14 years,1,363800,"0,27",,2707123772,899
female,Albania,1998,55-74 years,6,188200,"3,19",,2707123772,899
female,Albania,1998,75+ years,0,42300,0,,2707123772,899
female,Albania,1999,15-24 years,19,296800,"6,4",,3414760915,1127
female,Albania,1999,25-34 years,13,276500,"4,7",,3414760915,1127
female,Albania,1999,35-54 years,5,373600,"1,34",,3414760915,1127
female,Albania,1999,5-14 years,1,365200,"0,27",,3414760915,1127
female,Albania,1999,55-74 years,6,188800,"3,18",,3414760915,1127
