sex,country,year,age,generation,suicides_no,population,suicides/100k pop,Suma - HDI for year,Suma -  gdp_for_year ($) ,Suma - gdp_per_capita ($)
male,Albania,1985,15-24 years,,,,,,,
male,Albania,1985,25-34 years,,,,,,,
male,Albania,1985,35-54 years,,,,,,,
male,Albania,1985,5-14 years,,,,,,,
male,Albania,1985,55-74 years,,,,,,,
male,Albania,1985,75+ years,,,,,,,
male,Albania,1986,15-24 years,,,,,,,
male,Albania,1986,25-34 years,,,,,,,
male,Albania,1986,35-54 years,,,,,,,
male,Albania,1986,5-14 years,,,,,,,
male,Albania,1986,55-74 years,,,,,,,
male,Albania,1986,75+ years,,,,,,,
male,Albania,1987,15-24 years,3,21,312900,"6,71",,2156624900,796
male,Albania,1987,25-34 years,1,9,274300,"3,28",,2156624900,796
male,Albania,1987,35-54 years,6,16,308000,"5,19",,2156624900,796
male,Albania,1987,5-14 years,3,0,338200,0,,2156624900,796
male,Albania,1987,55-74 years,2,1,137500,"0,73",,2156624900,796
male,Albania,1987,75+ years,2,1,21800,"4,59",,2156624900,796
male,Albania,1988,15-24 years,3,17,319200,"5,33",,2126000000,769
male,Albania,1988,25-34 years,1,5,279900,"1,79",,2126000000,769
male,Albania,1988,35-54 years,6,14,314100,"4,46",,2126000000,769
male,Albania,1988,5-14 years,3,0,345000,0,,2126000000,769
male,Albania,1988,55-74 years,2,4,140200,"2,85",,2126000000,769
male,Albania,1988,75+ years,2,1,22300,"4,48",,2126000000,769
male,Albania,1989,15-24 years,3,12,323500,"3,71",,2335124988,833
male,Albania,1989,25-34 years,1,18,283600,"6,35",,2335124988,833
male,Albania,1989,35-54 years,6,15,318400,"4,71",,2335124988,833
male,Albania,1989,5-14 years,3,0,349700,0,,2335124988,833
male,Albania,1989,55-74 years,2,6,142100,"4,22",,2335124988,833
male,Albania,1989,75+ years,2,2,22500,"8,89",,2335124988,833
male,Albania,1990,15-24 years,,,,,,,
male,Albania,1990,25-34 years,,,,,,,
male,Albania,1990,35-54 years,,,,,,,
male,Albania,1990,5-14 years,,,,,,,
male,Albania,1990,55-74 years,,,,,,,
male,Albania,1990,75+ years,,,,,,,
male,Albania,1991,15-24 years,,,,,,,
male,Albania,1991,25-34 years,,,,,,,
male,Albania,1991,35-54 years,,,,,,,
male,Albania,1991,5-14 years,,,,,,,
male,Albania,1991,55-74 years,,,,,,,
male,Albania,1991,75+ years,,,,,,,
male,Albania,1992,15-24 years,3,9,263700,"3,41",,709452584,251
male,Albania,1992,25-34 years,1,7,245500,"2,85",,709452584,251
male,Albania,1992,35-54 years,1,12,343800,"3,49",,709452584,251
male,Albania,1992,5-14 years,5,0,362900,0,,709452584,251
male,Albania,1992,55-74 years,6,5,159500,"3,13",,709452584,251
male,Albania,1992,75+ years,2,0,23900,0,,709452584,251
male,Albania,1993,15-24 years,3,18,243300,"7,4",,1228071038,437
male,Albania,1993,25-34 years,1,9,230100,"3,91",,1228071038,437
male,Albania,1993,35-54 years,1,10,350300,"2,85",,1228071038,437
male,Albania,1993,5-14 years,5,1,367000,"0,27",,1228071038,437
male,Albania,1993,55-74 years,6,7,165000,"4,24",,1228071038,437
male,Albania,1993,75+ years,2,1,24200,"4,13",,1228071038,437
male,Albania,1994,15-24 years,3,6,242200,"2,48",,1985673798,697
male,Albania,1994,25-34 years,1,6,231400,"2,59",,1985673798,697
male,Albania,1994,35-54 years,1,9,362800,"2,48",,1985673798,697
male,Albania,1994,5-14 years,5,1,371800,"0,27",,1985673798,697
male,Albania,1994,55-74 years,6,11,171400,"6,42",,1985673798,697
male,Albania,1994,75+ years,2,2,24600,"8,13",,1985673798,697
male,Albania,1995,15-24 years,3,11,241200,"4,56",619,2424499009,835
male,Albania,1995,25-34 years,3,13,232900,"5,58",619,2424499009,835
male,Albania,1995,35-54 years,1,14,375900,"3,72",619,2424499009,835
male,Albania,1995,5-14 years,5,6,376500,"1,59",619,2424499009,835
male,Albania,1995,55-74 years,6,9,178000,"5,06",619,2424499009,835
male,Albania,1995,75+ years,2,1,25100,"3,98",619,2424499009,835
male,Albania,1996,15-24 years,3,17,243600,"6,98",,3314898292,1127
male,Albania,1996,25-34 years,3,14,235300,"5,95",,3314898292,1127
male,Albania,1996,35-54 years,1,12,379600,"3,16",,3314898292,1127
male,Albania,1996,5-14 years,5,2,380400,"0,53",,3314898292,1127
male,Albania,1996,55-74 years,6,3,179900,"1,67",,3314898292,1127
male,Albania,1996,75+ years,2,2,25400,"7,87",,3314898292,1127
male,Albania,1997,15-24 years,3,33,244400,"13,5",,2359903108,793
male,Albania,1997,25-34 years,3,36,236000,"15,25",,2359903108,793
male,Albania,1997,35-54 years,1,30,380800,"7,88",,2359903108,793
male,Albania,1997,5-14 years,5,4,381500,"1,05",,2359903108,793
male,Albania,1997,55-74 years,6,12,180300,"6,66",,2359903108,793
male,Albania,1997,75+ years,2,3,25400,"11,81",,2359903108,793
male,Albania,1998,15-24 years,3,27,248800,"10,85",,2707123772,899
male,Albania,1998,25-34 years,3,26,240400,"10,82",,2707123772,899
male,Albania,1998,35-54 years,1,29,388200,"7,47",,2707123772,899
male,Albania,1998,5-14 years,5,2,388400,"0,51",,2707123772,899
male,Albania,1998,55-74 years,6,9,183800,"4,9",,2707123772,899
male,Albania,1998,75+ years,2,3,25800,"11,63",,2707123772,899
male,Albania,1999,15-24 years,3,24,250600,"9,58",,3414760915,1127
male,Albania,1999,25-34 years,3,19,242300,"7,84",,3414760915,1127
male,Albania,1999,35-54 years,1,31,391100,"7,93",,3414760915,1127
male,Albania,1999,5-14 years,5,0,391300,0,,3414760915,1127
male,Albania,1999,55-74 years,6,14,185200,"7,56",,3414760915,1127
male,Albania,1999,75+ years,2,3,25900,"11,58",,3414760915,1127
male,Albania,2000,15-24 years,3,5,240000,"2,08",656,3632043908,1299
male,Albania,2000,25-34 years,3,17,232000,"7,33",656,3632043908,1299
male,Albania,2000,35-54 years,1,4,374700,"1,07",656,3632043908,1299
male,Albania,2000,5-14 years,5,1,374900,"0,27",656,3632043908,1299
male,Albania,2000,55-74 years,6,10,177400,"5,64",656,3632043908,1299
male,Albania,2000,75+ years,2,1,24900,"4,02",656,3632043908,1299
male,Albania,2001,15-24 years,5,10,256039,"3,91",,4060758804,1451
male,Albania,2001,25-34 years,3,22,206484,"10,65",,4060758804,1451
male,Albania,2001,35-54 years,1,34,378826,"8,98",,4060758804,1451
male,Albania,2001,5-14 years,5,6,321556,"1,87",,4060758804,1451
male,Albania,2001,55-74 years,6,11,196670,"5,59",,4060758804,1451
male,Albania,2001,75+ years,6,1,31044,"3,22",,4060758804,1451
male,Albania,2002,15-24 years,5,15,263067,"5,7",,4435078648,1573
male,Albania,2002,25-34 years,3,23,206286,"11,15",,4435078648,1573
male,Albania,2002,35-54 years,1,35,382139,"9,16",,4435078648,1573
male,Albania,2002,5-14 years,5,1,319473,"0,31",,4435078648,1573
male,Albania,2002,55-74 years,6,13,198130,"6,56",,4435078648,1573
male,Albania,2002,75+ years,6,4,31007,"12,9",,4435078648,1573
male,Albania,2003,15-24 years,5,15,273235,"5,49",,5746945913,2021
male,Albania,2003,25-34 years,3,9,205433,"4,38",,5746945913,2021
male,Albania,2003,35-54 years,1,28,386196,"7,25",,5746945913,2021
male,Albania,2003,5-14 years,5,4,313204,"1,28",,5746945913,2021
male,Albania,2003,55-74 years,6,16,201520,"7,94",,5746945913,2021
male,Albania,2003,75+ years,6,1,32667,"3,06",,5746945913,2021
male,Albania,2004,15-24 years,5,19,286768,"6,63",,7314865176,2544
male,Albania,2004,25-34 years,3,16,203938,"7,85",,7314865176,2544
male,Albania,2004,35-54 years,1,39,391767,"9,95",,7314865176,2544
male,Albania,2004,5-14 years,5,1,302181,"0,33",,7314865176,2544
male,Albania,2004,55-74 years,6,10,207202,"4,83",,7314865176,2544
male,Albania,2004,75+ years,6,4,35526,"11,26",,7314865176,2544
male,Albania,2005,15-24 years,5,0,281675,0,695,8158548717,2931
male,Albania,2005,25-34 years,3,0,177519,0,695,8158548717,2931
male,Albania,2005,35-54 years,1,0,380242,0,695,8158548717,2931
male,Albania,2005,5-14 years,5,0,291367,0,695,8158548717,2931
male,Albania,2005,55-74 years,6,0,214118,0,695,8158548717,2931
male,Albania,2005,75+ years,6,0,38471,0,695,8158548717,2931
male,Albania,2006,15-24 years,5,0,286679,0,,8992642349,3235
male,Albania,2006,25-34 years,3,0,174092,0,,8992642349,3235
male,Albania,2006,35-54 years,1,0,379076,0,,8992642349,3235
male,Albania,2006,5-14 years,5,0,282678,0,,8992642349,3235
male,Albania,2006,55-74 years,6,0,219360,0,,8992642349,3235
male,Albania,2006,75+ years,6,0,40782,0,,8992642349,3235
male,Albania,2007,15-24 years,5,13,288349,"4,51",,10701011897,3863
male,Albania,2007,25-34 years,3,9,172494,"5,22",,10701011897,3863
male,Albania,2007,35-54 years,1,29,378626,"7,66",,10701011897,3863
male,Albania,2007,5-14 years,4,4,272497,"1,47",,10701011897,3863
male,Albania,2007,55-74 years,6,14,224160,"6,25",,10701011897,3863
male,Albania,2007,75+ years,6,8,42366,"18,88",,10701011897,3863
male,Albania,2008,15-24 years,5,11,286702,"3,84",,12881352688,4672
male,Albania,2008,25-34 years,3,21,172855,"12,15",,12881352688,4672
male,Albania,2008,35-54 years,1,37,377119,"9,81",,12881352688,4672
male,Albania,2008,5-14 years,4,7,262464,"2,67",,12881352688,4672
male,Albania,2008,55-74 years,6,21,228672,"9,18",,12881352688,4672
male,Albania,2008,75+ years,6,2,44574,"4,49",,12881352688,4672
male,Albania,2009,15-24 years,5,0,283448,0,,12044212904,4387
male,Albania,2009,25-34 years,3,0,174955,0,,12044212904,4387
male,Albania,2009,35-54 years,1,0,374365,0,,12044212904,4387
male,Albania,2009,5-14 years,4,0,253007,0,,12044212904,4387
male,Albania,2009,55-74 years,6,0,234570,0,,12044212904,4387
male,Albania,2009,75+ years,6,0,47331,0,,12044212904,4387
male,Albania,2010,15-24 years,5,10,279508,"3,58",722,11926953259,4359
male,Albania,2010,25-34 years,3,9,179720,"5,01",722,11926953259,4359
male,Albania,2010,35-54 years,3,20,371611,"5,38",722,11926953259,4359
male,Albania,2010,5-14 years,4,0,240939,0,722,11926953259,4359
male,Albania,2010,55-74 years,6,20,241852,"8,27",722,11926953259,4359
male,Albania,2010,75+ years,6,2,50767,"3,94",722,11926953259,4359
male,Albania,2011,15-24 years,,,,,,,
male,Albania,2011,25-34 years,,,,,,,
male,Albania,2011,35-54 years,,,,,,,
male,Albania,2011,5-14 years,,,,,,,
male,Albania,2011,55-74 years,,,,,,,
male,Albania,2011,75+ years,,,,,,,
male,Albania,2012,15-24 years,,,,,,,
male,Albania,2012,25-34 years,,,,,,,
male,Albania,2012,35-54 years,,,,,,,
male,Albania,2012,5-14 years,,,,,,,
male,Albania,2012,55-74 years,,,,,,,
male,Albania,2012,75+ years,,,,,,,
male,Albania,2013,15-24 years,,,,,,,
male,Albania,2013,25-34 years,,,,,,,
male,Albania,2013,35-54 years,,,,,,,
male,Albania,2013,5-14 years,,,,,,,
male,Albania,2013,55-74 years,,,,,,,
male,Albania,2013,75+ years,,,,,,,
male,Albania,2014,15-24 years,,,,,,,
male,Albania,2014,25-34 years,,,,,,,
male,Albania,2014,35-54 years,,,,,,,
male,Albania,2014,5-14 years,,,,,,,
male,Albania,2014,55-74 years,,,,,,,
male,Albania,2014,75+ years,,,,,,,
male,Albania,2015,15-24 years,,,,,,,
male,Albania,2015,25-34 years,,,,,,,
male,Albania,2015,35-54 years,,,,,,,
male,Albania,2015,5-14 years,,,,,,,
male,Albania,2015,55-74 years,,,,,,,
male,Albania,2015,75+ years,,,,,,,
male,Albania,2016,15-24 years,,,,,,,
male,Albania,2016,25-34 years,,,,,,,
male,Albania,2016,35-54 years,,,,,,,
male,Albania,2016,5-14 years,,,,,,,
male,Albania,2016,55-74 years,,,,,,,
male,Albania,2016,75+ years,,,,,,,
male,Antigua and Barbuda,1985,15-24 years,3,0,7667,0,,240923926,3850
male,Antigua and Barbuda,1985,25-34 years,1,0,6194,0,,240923926,3850
male,Antigua and Barbuda,1985,35-54 years,6,0,5970,0,,240923926,3850
male,Antigua and Barbuda,1985,5-14 years,3,0,7304,0,,240923926,3850
male,Antigua and Barbuda,1985,55-74 years,2,0,2723,0,,240923926,3850
male,Antigua and Barbuda,1985,75+ years,2,0,424,0,,240923926,3850
male,Antigua and Barbuda,1986,15-24 years,3,0,7563,0,,290440148,4740
male,Antigua and Barbuda,1986,25-34 years,1,0,6023,0,,290440148,4740
male,Antigua and Barbuda,1986,35-54 years,6,0,5947,0,,290440148,4740
male,Antigua and Barbuda,1986,5-14 years,3,0,6827,0,,290440148,4740
