,sex,country,year,age,generation,suicides_no,population,suicides/100k pop,HDI for year,gdp_for_year ($) ,gdp_per_capita ($)
0,female,Albania,1985,15-24 years,,,,,,,
1,female,Albania,1985,25-34 years,,,,,,,
2,female,Albania,1985,35-54 years,,,,,,,
3,female,Albania,1985,5-14 years,,,,,,,
4,female,Albania,1985,55-74 years,,,,,,,
5,female,Albania,1985,75+ years,,,,,,,
6,female,Albania,1986,15-24 years,,,,,,,
7,female,Albania,1986,25-34 years,,,,,,,
8,female,Albania,1986,35-54 years,,,,,,,
9,female,Albania,1986,5-14 years,,,,,,,
10,female,Albania,1986,55-74 years,,,,,,,
11,female,Albania,1986,75+ years,,,,,,,
12,female,Albania,1987,15-24 years,Generation X,14.0,289700.0,4.83,,2156624900.0,796.0
13,female,Albania,1987,25-34 years,Boomers,4.0,257200.0,1.56,,2156624900.0,796.0
14,female,Albania,1987,35-54 years,Silent,6.0,278800.0,2.15,,2156624900.0,796.0
15,female,Albania,1987,5-14 years,Generation X,0.0,311000.0,0.0,,2156624900.0,796.0
16,female,Albania,1987,55-74 years,G.I. Generation,0.0,144600.0,0.0,,2156624900.0,796.0
17,female,Albania,1987,75+ years,G.I. Generation,1.0,35600.0,2.81,,2156624900.0,796.0
18,female,Albania,1988,15-24 years,Generation X,8.0,295600.0,2.71,,2126000000.0,769.0
19,female,Albania,1988,25-34 years,Boomers,5.0,262400.0,1.91,,2126000000.0,769.0
20,female,Albania,1988,35-54 years,Silent,4.0,284500.0,1.41,,2126000000.0,769.0
21,female,Albania,1988,5-14 years,Generation X,0.0,317200.0,0.0,,2126000000.0,769.0
22,female,Albania,1988,55-74 years,G.I. Generation,3.0,147500.0,2.03,,2126000000.0,769.0
23,female,Albania,1988,75+ years,G.I. Generation,2.0,36400.0,5.49,,2126000000.0,769.0
24,female,Albania,1989,15-24 years,Generation X,5.0,299900.0,1.67,,2335124988.0,833.0
25,female,Albania,1989,25-34 years,Boomers,2.0,266300.0,0.75,,2335124988.0,833.0
26,female,Albania,1989,35-54 years,Silent,7.0,288600.0,2.43,,2335124988.0,833.0
27,female,Albania,1989,5-14 years,Generation X,0.0,321900.0,0.0,,2335124988.0,833.0
28,female,Albania,1989,55-74 years,G.I. Generation,1.0,149600.0,0.67,,2335124988.0,833.0
29,female,Albania,1989,75+ years,G.I. Generation,0.0,37000.0,0.0,,2335124988.0,833.0
30,female,Albania,1990,15-24 years,,,,,,,
31,female,Albania,1990,25-34 years,,,,,,,
32,female,Albania,1990,35-54 years,,,,,,,
33,female,Albania,1990,5-14 years,,,,,,,
34,female,Albania,1990,55-74 years,,,,,,,
35,female,Albania,1990,75+ years,,,,,,,
36,female,Albania,1991,15-24 years,,,,,,,
37,female,Albania,1991,25-34 years,,,,,,,
38,female,Albania,1991,35-54 years,,,,,,,
39,female,Albania,1991,5-14 years,,,,,,,
40,female,Albania,1991,55-74 years,,,,,,,
41,female,Albania,1991,75+ years,,,,,,,
42,female,Albania,1992,15-24 years,Generation X,7.0,292400.0,2.39,,709452584.0,251.0
43,female,Albania,1992,25-34 years,Boomers,4.0,267400.0,1.5,,709452584.0,251.0
44,female,Albania,1992,35-54 years,Boomers,2.0,323100.0,0.62,,709452584.0,251.0
45,female,Albania,1992,5-14 years,Millenials,0.0,336700.0,0.0,,709452584.0,251.0
46,female,Albania,1992,55-74 years,Silent,1.0,164900.0,0.61,,709452584.0,251.0
47,female,Albania,1992,75+ years,G.I. Generation,0.0,38700.0,0.0,,709452584.0,251.0
48,female,Albania,1993,15-24 years,Generation X,10.0,285300.0,3.51,,1228071038.0,437.0
49,female,Albania,1993,25-34 years,Boomers,7.0,261800.0,2.67,,1228071038.0,437.0
50,female,Albania,1993,35-54 years,Boomers,7.0,331200.0,2.11,,1228071038.0,437.0
51,female,Albania,1993,5-14 years,Millenials,1.0,340300.0,0.29,,1228071038.0,437.0
